"CODE","NAME","ANTIGEN_DESCRIPTION","vax1_coverage","vax2_coverage"
"AFG","Afghanistan","Measles-containing vaccine, 1st dose",55,44
"ALB","Albania","Measles-containing vaccine, 1st dose",81,92
"DZA","Algeria","Measles-containing vaccine, 1st dose",94,90
"AND","Andorra","Measles-containing vaccine, 1st dose",98,97
"AGO","Angola","Measles-containing vaccine, 1st dose",53,31
"ATG","Antigua and Barbuda","Measles-containing vaccine, 1st dose",97,82
"ARG","Argentina","Measles-containing vaccine, 1st dose",82,46
"ARM","Armenia","Measles-containing vaccine, 1st dose",96,95
"AUS","Australia","Measles-containing vaccine, 1st dose",91,92
"AUT","Austria","Measles-containing vaccine, 1st dose",90,84
"AZE","Azerbaijan","Measles-containing vaccine, 1st dose",71,88
"BHS","Bahamas","Measles-containing vaccine, 1st dose",86,60
"BHR","Bahrain","Measles-containing vaccine, 1st dose",99,99
"BGD","Bangladesh","Measles-containing vaccine, 1st dose",96,93
"BRB","Barbados","Measles-containing vaccine, 1st dose",88,76
"BLR","Belarus","Measles-containing vaccine, 1st dose",98,98
"BEL","Belgium","Measles-containing vaccine, 1st dose",96,82
"BLZ","Belize","Measles-containing vaccine, 1st dose",84,83
"BEN","Benin","Measles-containing vaccine, 1st dose",44,NA
"BTN","Bhutan","Measles-containing vaccine, 1st dose",97,96
"BOL","Bolivia (Plurinational State of)","Measles-containing vaccine, 1st dose",67,61
"BIH","Bosnia and Herzegovina","Measles-containing vaccine, 1st dose",69,71
"BWA","Botswana","Measles-containing vaccine, 1st dose",97,77
"BRA","Brazil","Measles-containing vaccine, 1st dose",93,68
"BRN","Brunei Darussalam","Measles-containing vaccine, 1st dose",99,99
"BGR","Bulgaria","Measles-containing vaccine, 1st dose",94,91
"BFA","Burkina Faso","Measles-containing vaccine, 1st dose",88,65
"BDI","Burundi","Measles-containing vaccine, 1st dose",86,80
"CPV","Cabo Verde","Measles-containing vaccine, 1st dose",95,86
"KHM","Cambodia","Measles-containing vaccine, 1st dose",83,64
"CMR","Cameroon","Measles-containing vaccine, 1st dose",71,49
"CAN","Canada","Measles-containing vaccine, 1st dose",92,79
"CAF","Central African Republic","Measles-containing vaccine, 1st dose",41,NA
"TCD","Chad","Measles-containing vaccine, 1st dose",66,46
"CHL","Chile","Measles-containing vaccine, 1st dose",93,73
"CHN","China","Measles-containing vaccine, 1st dose",95,95
"COL","Colombia","Measles-containing vaccine, 1st dose",93,86
"COM","Comoros","Measles-containing vaccine, 1st dose",70,70
"COG","Congo","Measles-containing vaccine, 1st dose",72,47
"COK","Cook Islands","Measles-containing vaccine, 1st dose",99,79
"CRI","Costa Rica","Measles-containing vaccine, 1st dose",93,87
"CIV","Côte d'Ivoire","Measles-containing vaccine, 1st dose",75,48
"HRV","Croatia","Measles-containing vaccine, 1st dose",90,89
"CUB","Cuba","Measles-containing vaccine, 1st dose",99,99
"CYP","Cyprus","Measles-containing vaccine, 1st dose",99,97
"CZE","Czechia","Measles-containing vaccine, 1st dose",89,89
"PRK","Democratic People's Republic of Korea","Measles-containing vaccine, 1st dose",99,99
"COD","Democratic Republic of the Congo","Measles-containing vaccine, 1st dose",55,51
"DNK","Denmark","Measles-containing vaccine, 1st dose",94,93
"DJI","Djibouti","Measles-containing vaccine, 1st dose",75,48
"DMA","Dominica","Measles-containing vaccine, 1st dose",80,75
"DOM","Dominican Republic","Measles-containing vaccine, 1st dose",89,78
"ECU","Ecuador","Measles-containing vaccine, 1st dose",74,60
"EGY","Egypt","Measles-containing vaccine, 1st dose",97,96
"SLV","El Salvador","Measles-containing vaccine, 1st dose",96,90
