area_code,area_name,year,MMR1_24m,MMR1_5y,MMR2_5y
E09000002,Barking and Dagenham,2014,88.09,90.82,82.33
E09000002,Barking and Dagenham,2015,89.05,92.23,82.74
E09000002,Barking and Dagenham,2016,90.84,94.11,82.36
E09000002,Barking and Dagenham,2017,89.52,94.09,81.94
E09000002,Barking and Dagenham,2018,85.13,94.53,78.64
E09000002,Barking and Dagenham,2019,80.58,92.07,73.3
E09000002,Barking and Dagenham,2020,82.64,91.05,73.13
E09000002,Barking and Dagenham,2021,78.73,89.56,69.76
E09000002,Barking and Dagenham,2022,75.47,86.44,67.75
E09000002,Barking and Dagenham,2023,79.04,85.58,69.45
E09000002,Barking and Dagenham,2024,79.5,82.09,68.54
E09000002,Barking and Dagenham,2025,79.5,82.6,69.1
E09000003,Barnet,2014,80.66,90.72,75.1
E09000003,Barnet,2015,79.91,90.1,73.66
E09000003,Barnet,2016,81.77,88.23,72.05
E09000003,Barnet,2017,85.92,90.99,79.6
E09000003,Barnet,2018,83.81,90.81,76.04
E09000003,Barnet,2019,81.87,89.09,75.22
E09000003,Barnet,2020,83.38,88.78,75.0
E09000003,Barnet,2021,82.5,89.78,75.16
E09000003,Barnet,2022,80.2,87.7,71.45
E09000003,Barnet,2023,80.63,86.29,70.56
E09000003,Barnet,2024,81.73,85.34,72.9
E09000003,Barnet,2025,81.4,83.8,71.5
E08000016,Barnsley,2014,96.21,97.33,95.08
E08000016,Barnsley,2015,96.12,97.74,95.14
E08000016,Barnsley,2016,95.73,98.41,95.23
E08000016,Barnsley,2017,96.46,98.57,95.29
E08000016,Barnsley,2018,96.46,98.07,95.32
E08000016,Barnsley,2019,95.91,97.67,94.86
E08000016,Barnsley,2020,95.43,98.02,95.22
E08000016,Barnsley,2021,94.76,97.46,94.02
E08000016,Barnsley,2022,94.79,96.69,93.51
E08000016,Barnsley,2023,94.07,96.4,92.23
E08000016,Barnsley,2024,94.4,95.86,91.73
E08000016,Barnsley,2025,95.2,96.5,93.4
E06000022,Bath and North East Somerset,2014,94.14,95.92,91.64
